Full_Tag,Yield_Count
Mnemosyne::First_Aid::Public_Health_Sciences::Communication_Skills::Patient-Centered_Interviewing_Techniques,14
Mnemosyne::First_Aid::Endocrine::Pathology::Diabetes_Mellitus,13
Mnemosyne::First_Aid::Cardiovascular::Pathology::Hypertension,13
Mnemosyne::First_Aid::Cardiovascular::Pathology::Shock,12
Mnemosyne::First_Aid::Cardiovascular::Pathology::Heart_Failure,11
Mnemosyne::First_Aid::Renal::Physiology::Electrolyte_Disturbances,11
Mnemosyne::First_Aid::Microbiology::Virology::HIV,10
Mnemosyne::First_Aid::Renal::Physiology::Renin-Angiotensin-Aldosterone_System,8
Mnemosyne::First_Aid::Renal::Pathology::Acute_Kidney_Injury,8
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Observational_Studies,8
Mnemosyne::First_Aid::Renal::Physiology::Acidosis_And_Alkalosis,8
Mnemosyne::First_Aid::Immunology::Immune_Responses::Hypersensitivity_Types,8
Mnemosyne::First_Aid::Reproductive::Physiology::Androgens,7
Mnemosyne::First_Aid::Cardiovascular::Physiology::Heart_Murmurs,7
Mnemosyne::First_Aid::Immunology::Immune_Responses::Immunodeficiencies,7
Mnemosyne::First_Aid::Pathology::Inflammation::Acute_Inflammation,7
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pharmacology::Opioid_Analgesics,7
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Anemias,7
Mnemosyne::First_Aid::Endocrine::Physiology::Calcium_Homeostasis,7
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Intrinsic_Hemolytic_Anemias,7
Mnemosyne::First_Aid::Endocrine::Physiology::Insulin,7
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Malabsorption_Syndromes,7
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Cirrhosis_And_Portal_Hypertension,7
Mnemosyne::First_Aid::Pathology::Inflammation::Granulomatous_Inflammation,6
Mnemosyne::First_Aid::Biochemistry::Genetics::Autosomal_Dominant_Diseases,6
Mnemosyne::First_Aid::Endocrine::Physiology::Antidiuretic_Hormone,6
Mnemosyne::First_Aid::Microbiology::Virology::Herpesviruses,6
Mnemosyne::First_Aid::Biochemistry::Metabolism::Familial_Dyslipidemias,6
Mnemosyne::First_Aid::Cardiovascular::Physiology::Cardiac_Output_Variables,6
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Vasculitides",6
Mnemosyne::First_Aid::Microbiology::Virology::Hepatitis_Viruses,6
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Clinical_Therapeutic_Trial,6
Mnemosyne::First_Aid::Pharmacology::Pharmacokinetics_And_Pharmacodynamics::Pharmacokinetics,6
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Dermatology::Skin_Cancer",6
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Coagulation_Disorders,6
Mnemosyne::First_Aid::Renal::Physiology::Acid-Base_Physiology,6
Mnemosyne::First_Aid::Reproductive::Physiology::Pregnancy,6
Mnemosyne::First_Aid::Respiratory::Pathology::Obstructive_Lung_Diseases,6
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Common_Musculoskeletal_Conditions",6
Mnemosyne::First_Aid::Renal::Pathology::Consequences_Of_Renal_Failure,6
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pathology::Dementia,6
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Lower_Extremity_Nerves",5
Mnemosyne::First_Aid::Respiratory::Pathology::Lung_Cancer,5
Mnemosyne::First_Aid::Cardiovascular::Pathology::Congenital_Heart_Diseases,5
Mnemosyne::First_Aid::Microbiology::Virology::Common_Diseases_Of_HIV-Positive_Adults,5
Mnemosyne::First_Aid::Hematology_And_Oncology::Physiology::Vitamin_K–Dependent_Coagulation,5
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pharmacology::Nonsteroidal_Anti-Inflammatory_Drugs",5
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Pancreatitis,5
