Full_Tag,Yield_Count
Mnemosyne::First_Aid::Endocrine::Pathology::Diabetes_Mellitus,39
Mnemosyne::First_Aid::Renal::Pathology::Acute_Kidney_Injury,34
Mnemosyne::First_Aid::Cardiovascular::Pathology::Hypertension,33
Mnemosyne::First_Aid::Cardiovascular::Pathology::Shock,33
Mnemosyne::First_Aid::Cardiovascular::Pathology::Heart_Failure,31
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Cirrhosis_And_Portal_Hypertension,27
Mnemosyne::First_Aid::Public_Health_Sciences::Communication_Skills::Patient-Centered_Interviewing_Techniques,26
Mnemosyne::First_Aid::Pathology::Inflammation::Acute_Inflammation,26
Mnemosyne::First_Aid::Cardiovascular::Pathology::Atherosclerosis,25
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Observational_Studies,24
Mnemosyne::First_Aid::Cardiovascular::Pathology::Ischemic_Heart_Disease_Manifestations,22
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Anemias,22
Mnemosyne::First_Aid::Respiratory::Pathology::Lung_Cancer,21
Mnemosyne::First_Aid::Public_Health_Sciences::Communication_Skills::Establishing_Rapport,21
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Leukemias,21
Mnemosyne::First_Aid::Renal::Physiology::Acidosis_And_Alkalosis,21
Mnemosyne::First_Aid::Renal::Physiology::Electrolyte_Disturbances,21
Mnemosyne::First_Aid::Microbiology::Virology::HIV,20
Mnemosyne::First_Aid::Respiratory::Pathology::Obstructive_Lung_Diseases,20
Mnemosyne::First_Aid::Cardiovascular::Physiology::Heart_Murmurs,19
Mnemosyne::First_Aid::Endocrine::Physiology::Calcium_Homeostasis,19
Mnemosyne::First_Aid::Immunology::Immune_Responses::Immunodeficiencies,19
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pathology::Effects_Of_Strokes,19
Mnemosyne::First_Aid::Public_Health_Sciences::Communication_Skills::Motivational_Interviewing,18
Mnemosyne::First_Aid::Biochemistry::Genetics::Modes_Of_Inheritance,18
Mnemosyne::First_Aid::Biochemistry::Genetics::Autosomal_Dominant_Diseases,17
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Quantifying_Risk,17
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Intrinsic_Hemolytic_Anemias,16
Mnemosyne::First_Aid::Endocrine::Physiology::Thyroid_Hormones,16
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Clinical_Therapeutic_Trial,16
Mnemosyne::First_Aid::Gastrointestinal::Anatomy::Abdominal_Aorta_And_Branches,15
Mnemosyne::First_Aid::Renal::Physiology::Acid-Base_Physiology,15
Mnemosyne::First_Aid::Cardiovascular::Pathology::Congenital_Heart_Diseases,15
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Malabsorption_Syndromes,15
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pathology::Ischemic_Brain_Disease/Stroke,15
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pathology::Dementia,15
Mnemosyne::First_Aid::Renal::Physiology::Nephron_Transport_Physiology,14
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Common_Musculoskeletal_Conditions",14
Mnemosyne::First_Aid::Cardiovascular::Physiology::Cardiac_Output_Variables,14
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Dermatology::Skin_Cancer",14
"Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Microcytic,_Hypochromic_Anemias",14
Mnemosyne::First_Aid::Immunology::Immune_Responses::Hypersensitivity_Types,14
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Pancreatitis,14
Mnemosyne::First_Aid::Endocrine::Physiology::Parathyroid_Hormone,13
Mnemosyne::First_Aid::Biochemistry::Metabolism::Amino_Acids,13
Mnemosyne::First_Aid::Respiratory::Pharmacology::Asthma_Drugs,13
Mnemosyne::First_Aid::Cardiovascular::Pharmacology::Lipid-Lowering_Agents,13
Mnemosyne::First_Aid::Renal::Pathology::Renovascular_Disease,13
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Platelet_Disorders,13
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Coagulation_Disorders,13
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Evaluation_Of_Diagnostic_Tests,12
Mnemosyne::First_Aid::Microbiology::Virology::Herpesviruses,12
Mnemosyne::First_Aid::Biochemistry::Cellular::Collagen,12
Mnemosyne::First_Aid::Renal::Pathology::Kidney_Stones,12
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Dermatology::Common_Skin_Disorders",12
Mnemosyne::First_Aid::Biochemistry::Metabolism::Familial_Dyslipidemias,12
Mnemosyne::First_Aid::Endocrine::Pathology::Hyperthyroidism,12
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Peptic_Ulcer_Disease,12
Mnemosyne::First_Aid::Pathology::Neoplasia::Tumor_Nomenclature,12
Mnemosyne::First_Aid::Pathology::Neoplasia::Common_Metastases,12
Mnemosyne::First_Aid::Renal::Physiology::Renin-Angiotensin-Aldosterone_System,12
Mnemosyne::First_Aid::Pharmacology::Autonomic_Drugs::Sympathomimetics,12
Mnemosyne::First_Aid::Gastrointestinal::Physiology::Gastrointestinal_Regulatory_Substances,12
Mnemosyne::First_Aid::Endocrine::Physiology::Insulin,12
Mnemosyne::First_Aid::Psychiatry::Pathology::Psychoactive_Drug_Intoxication_And_Withdrawal,12
Mnemosyne::First_Aid::Microbiology::Virology::Common_Diseases_Of_HIV-Positive_Adults,12
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Anatomy_And_Physiology::Spinal_Tract_Anatomy_And_Functions,12
Mnemosyne::First_Aid::Biochemistry::Nutrition::Vitamin_B12,12
Mnemosyne::First_Aid::Cardiovascular::Pathology::Cardiomyopathies,11
Mnemosyne::First_Aid::Immunology::Immune_Responses::Respiratory_Burst,11
Mnemosyne::First_Aid::Immunology::Cellular_Components::Major_Histocompatibility_Complex_I_And_II,11
