Full_Tag,Yield_Count
Mnemosyne::First_Aid::Cardiovascular::Pathology::Hypertension,67
Mnemosyne::First_Aid::Gastrointestinal::Anatomy::Digestive_Tract_Anatomy,66
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Anemias,62
Mnemosyne::First_Aid::Endocrine::Pathology::Diabetes_Mellitus,55
Mnemosyne::First_Aid::Public_Health_Sciences::Communication_Skills::Patient-Centered_Interviewing_Techniques,53
Mnemosyne::First_Aid::Respiratory::Pathology::Lung_Cancer,52
Mnemosyne::First_Aid::Cardiovascular::Anatomy::Heart_Anatomy,48
Mnemosyne::First_Aid::Cardiovascular::Pathology::Heart_Failure,47
Mnemosyne::First_Aid::Renal::Physiology::Acid-Base_Physiology,47
Mnemosyne::First_Aid::Immunology::Immune_Responses::Hypersensitivity_Types,46
Mnemosyne::First_Aid::Cardiovascular::Pathology::Shock,44
Mnemosyne::First_Aid::Reproductive::Anatomy::Male_Reproductive_Anatomy,43
Mnemosyne::First_Aid::Renal::Physiology::Electrolyte_Disturbances,42
Mnemosyne::First_Aid::Endocrine::Pathology::Type_1_Versus_Type_2_Diabetes_Mellitus,41
Mnemosyne::First_Aid::Public_Health_Sciences::Communication_Skills::Establishing_Rapport,41
Mnemosyne::First_Aid::Respiratory::Pathology::Pneumonia,40
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Anatomy_And_Physiology::Cranial_Nerves,40
Mnemosyne::First_Aid::Immunology::Immune_Responses::Immunodeficiencies,39
Mnemosyne::First_Aid::Renal::Physiology::Acidosis_And_Alkalosis,37
Mnemosyne::First_Aid::Endocrine::Physiology::Calcium_Homeostasis,37
Mnemosyne::First_Aid::Cardiovascular::Pathology::Ischemic_Heart_Disease_Manifestations,36
Mnemosyne::First_Aid::Renal::Pathology::Acute_Kidney_Injury,36
Mnemosyne::First_Aid::Cardiovascular::Physiology::Auscultation_Of_The_Heart,34
Mnemosyne::First_Aid::Respiratory::Anatomy::Lung_Anatomy,34
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Observational_Studies,33
Mnemosyne::First_Aid::Renal::Physiology::Nephron_Transport_Physiology,33
Mnemosyne::First_Aid::Gastrointestinal::Physiology::Bilirubin,33
Mnemosyne::First_Aid::Gastrointestinal::Anatomy::Digestive_Tract_Histology,32
Mnemosyne::First_Aid::Microbiology::Virology::HIV,31
Mnemosyne::First_Aid::Biochemistry::Genetics::Modes_Of_Inheritance,31
Mnemosyne::First_Aid::Immunology::Immune_Responses::Autoantibodies,31
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Cirrhosis_And_Portal_Hypertension,31
Mnemosyne::First_Aid::Reproductive::Physiology::Androgens,31
Mnemosyne::First_Aid::Reproductive::Physiology::Menstrual_Cycle,31
Mnemosyne::First_Aid::Immunology::Cellular_Components::T-Cell_And_B-Cell_Activation,30
Mnemosyne::First_Aid::Renal::Physiology::Renin-Angiotensin-Aldosterone_System,30
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pathology::Ischemic_Brain_Disease/Stroke,30
Mnemosyne::First_Aid::Biochemistry::Genetics::Autosomal_Dominant_Diseases,30
Mnemosyne::First_Aid::Gastrointestinal::Anatomy::Abdominal_Aorta_And_Branches,30
Mnemosyne::First_Aid::Biochemistry::Genetics::Autosomal_Recessive_Diseases,29
Mnemosyne::First_Aid::Pathology::Inflammation::Acute_Inflammation,29
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Anatomy_And_Physiology::Spinal_Cord_And_Associated_Tracts,29
Mnemosyne::First_Aid::Microbiology::Virology::Herpesviruses,29
Mnemosyne::First_Aid::Reproductive::Anatomy::Female_Reproductive_Anatomy,29
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Dermatology::Common_Skin_Disorders",28
Mnemosyne::First_Aid::Endocrine::Physiology::Insulin,28
Mnemosyne::First_Aid::Endocrine::Physiology::Hypothalamic-Pituitary_Hormones,28
Mnemosyne::First_Aid::Pathology::Inflammation::Inflammation,28
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Common_Musculoskeletal_Conditions",28
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Clinical_Therapeutic_Trial,27
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Upper_Extremity_Nerves",27
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Leukemias,27
Mnemosyne::First_Aid::Cardiovascular::Physiology::Heart_Murmurs,27
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Cell_Biology_Of_Bone",26
Mnemosyne::First_Aid::Endocrine::Physiology::Thyroid_Hormones,26
Mnemosyne::First_Aid::Pathology::Neoplasia::Neoplasia_And_Neoplastic_Progression,26
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Quantifying_Risk,26
Mnemosyne::First_Aid::Endocrine::Physiology::Signaling_Pathways_Of_Endocrine_Hormones,26
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Platelet_Disorders,25
Mnemosyne::First_Aid::Microbiology::Systems::Urinary_Tract_Infections,25
Mnemosyne::First_Aid::Psychiatry::Psychology::Normal_Infant_And_Child_Development,25
Mnemosyne::First_Aid::Respiratory::Pathology::Obstructive_Lung_Diseases,25
Mnemosyne::First_Aid::Pharmacology::Autonomic_Drugs::Autonomic_Receptors,25
Mnemosyne::First_Aid::Hematology_And_Oncology::Anatomy::Neutrophils,24
Mnemosyne::First_Aid::Cardiovascular::Physiology::Cardiac_Output_Variables,24
Mnemosyne::First_Aid::Endocrine::Physiology::Antidiuretic_Hormone,24
Mnemosyne::First_Aid::Microbiology::Virology::Common_Diseases_Of_HIV-Positive_Adults,24
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Lower_Extremity_Nerves",24
Mnemosyne::First_Aid::Endocrine::Pathology::Neuroendocrine_Tumors,24
Mnemosyne::First_Aid::Reproductive::Physiology::Estrogen,24
Mnemosyne::First_Aid::Psychiatry::Pathology::Psychoactive_Drug_Intoxication_And_Withdrawal,23
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Malabsorption_Syndromes,23
Mnemosyne::First_Aid::Respiratory::Physiology::Hemoglobin,23
Mnemosyne::First_Aid::Biochemistry::Genetics::Genetic_Terms,23
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Dermatology::Pigmented_Skin_Disorders",23
Mnemosyne::First_Aid::Biochemistry::Molecular::Regulation_Of_Gene_Expression,23
Mnemosyne::First_Aid::Respiratory::Anatomy::Respiratory_Tree,23
Mnemosyne::First_Aid::Pathology::Inflammation::Wound_Healing,23
Mnemosyne::First_Aid::Biochemistry::Metabolism::Lipid_Transport,23
Mnemosyne::First_Aid::Pathology::Inflammation::Granulomatous_Inflammation,22
Mnemosyne::First_Aid::Respiratory::Pathology::Physical_Findings_In_Select_Lung_Diseases,22
Mnemosyne::First_Aid::Immunology::Lymphoid_Structures::Spleen,22
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Jaundice,21
Mnemosyne::First_Aid::Reproductive::Physiology::Physiologic_Changes_In_Pregnancy,21
"Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Microcytic,_Hypochromic_Anemias",21
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Motoneuron_Action_Potential_To_Muscle_Contraction",21
Mnemosyne::First_Aid::Hematology_And_Oncology::Anatomy::Hematopoiesis,21
Mnemosyne::First_Aid::Hematology_And_Oncology::Physiology::Coagulation_And_Kinin_Pathways,21
